Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd
Regular Season,736,1344,.548 ,124,342,.363 ,.594 ,278,.378 
Playoffs,217,384,.565 ,44,107,.411 ,.622 ,79,.364 
Home,477,852,.560 ,71,204,.348 ,.602 ,195,.409 
Road,476,876,.543 ,97,245,.396 ,.599 ,162,.340 
Win,676,1199,.564 ,129,316,.408 ,.618 ,265,.392 
Loss,277,529,.524 ,39,133,.293 ,.560 ,92,.332 
2,785,1279,.614 ,0,0,,.614 ,279,.355 
3,168,449,.374 ,168,449,.374 ,.561 ,78,.464 
At Rim,580,742,.782 ,0,0,,.782 ,248,.428 
3 to <10 ft,77,197,.391 ,0,0,,.391 ,13,.169 
10 to <16 ft,68,166,.410 ,0,0,,.410 ,8,.118 
16 ft to <3-pt,60,174,.345 ,0,0,,.345 ,10,.167 
3-pt,168,449,.374 ,168,449,.374 ,.561 ,78,.464 
Dunk,178,185,.962 ,0,0,,.962 ,115,.646 
Hook Shot,6,17,.353 ,0,0,,.353 ,1,.167 
Jump Shot,360,951,.379 ,168,449,.374 ,.467 ,106,.294 
Lay-Up,409,575,.711 ,0,0,,.711 ,135,.330 
1st,230,411,.560 ,30,76,.395 ,.596 ,84,.365 
2nd,264,439,.601 ,30,86,.349 ,.636 ,109,.413 
3rd,249,474,.525 ,65,164,.396 ,.594 ,88,.353 
4th,207,394,.525 ,41,117,.350 ,.577 ,74,.357 
OT,3,10,.300 ,2,6,.333 ,.400 ,2,.667 
< 3 minutes,192,353,.544 ,35,98,.357 ,.593 ,71,.370 
3-6 minutes,270,472,.572 ,47,123,.382 ,.622 ,102,.378 
> 6 minutes,491,903,.544 ,86,228,.377 ,.591 ,184,.375 
â‰¤ 5 points,398,731,.544 ,69,179,.385 ,.592 ,140,.352 
6-10 points,247,429,.576 ,41,109,.376 ,.624 ,107,.433 
> 10 points,308,568,.542 ,58,161,.360 ,.593 ,110,.357 
Atlanta,45,80,.562 ,10,20,.500 ,.625 ,22,.489 
Boston,103,183,.563 ,17,49,.347 ,.609 ,43,.417 
Brooklyn,34,54,.630 ,1,7,.143 ,.639 ,13,.382 
Charlotte,46,84,.548 ,11,24,.458 ,.613 ,17,.370 
Chicago,36,63,.571 ,3,12,.250 ,.595 ,7,.194 
Dallas,15,32,.469 ,3,11,.273 ,.516 ,9,.600 
Denver,19,28,.679 ,1,3,.333 ,.696 ,5,.263 
Detroit,27,48,.562 ,1,11,.091 ,.573 ,14,.519 
Golden State,84,157,.535 ,17,43,.395 ,.589 ,27,.321 
Houston,18,32,.562 ,5,14,.357 ,.641 ,6,.333 
Indiana,87,154,.565 ,17,37,.459 ,.620 ,30,.345 
LA Clippers,5,14,.357 ,0,2,.000 ,.357 ,0,.000 
LA Lakers,22,40,.550 ,5,13,.385 ,.613 ,9,.409 
Memphis,9,17,.529 ,0,4,.000 ,.529 ,3,.333 
Miami,23,44,.523 ,3,8,.375 ,.557 ,6,.261 
Milwaukee,40,77,.519 ,13,26,.500 ,.604 ,21,.525 
Minnesota,21,28,.750 ,3,5,.600 ,.804 ,9,.429 
New Orleans,20,42,.476 ,1,8,.125 ,.488 ,8,.400 
New York,35,55,.636 ,5,15,.333 ,.682 ,14,.400 
Oklahoma City,17,37,.459 ,1,6,.167 ,.473 ,5,.294 
Orlando,22,44,.500 ,4,14,.286 ,.545 ,8,.364 
Philadelphia,32,64,.500 ,5,16,.312 ,.539 ,11,.344 
Phoenix,19,29,.655 ,2,6,.333 ,.690 ,6,.316 
Portland,16,33,.485 ,4,8,.500 ,.545 ,3,.188 
Sacramento,14,27,.519 ,1,7,.143 ,.537 ,4,.286 
San Antonio,18,33,.545 ,2,8,.250 ,.576 ,10,.556 
Toronto,72,132,.545 ,19,45,.422 ,.617 ,29,.403 
Utah,23,40,.575 ,5,11,.455 ,.637 ,7,.304 
Washington,31,57,.544 ,9,16,.562 ,.623 ,11,.355 
October,23,46,.500 ,4,15,.267 ,.543 ,14,.609 
November,105,211,.498 ,21,54,.389 ,.547 ,36,.343 
December,148,283,.523 ,31,77,.403 ,.578 ,60,.405 
January,142,260,.546 ,15,55,.273 ,.575 ,47,.331 
February,100,157,.637 ,21,37,.568 ,.704 ,30,.300 
March,158,286,.552 ,26,82,.317 ,.598 ,65,.411 
April,110,193,.570 ,15,42,.357 ,.609 ,42,.382 
May,101,175,.577 ,23,56,.411 ,.643 ,42,.416 
June,66,117,.564 ,12,31,.387 ,.615 ,21,.318 
